Name,Pos,Inn,num0,num1_10,pct1_10,num10_40,pct10_40,num40_60,pct40_60,num60_90,pct60_90,num90_100,pct90_100
Alcides Escobar,SS,1412,13,34,0.088,18,0.500,15,0.600,33,0.788,412,0.971
Marcus Semien,SS,1385.3,9,26,0.000,18,0.111,13,0.077,40,0.575,525,0.951
Xander Bogaerts,SS,1378.7,13,27,0.000,17,0.294,11,0.455,22,0.636,418,0.971
Francisco Lindor,SS,1364.7,10,26,0.269,15,0.467,13,0.692,28,0.893,454,0.980
Danny Espinosa,SS,1358,6,20,0.000,14,0.143,14,0.357,21,0.762,431,0.958
Carlos Correa,SS,1355.7,11,25,0.040,17,0.529,22,0.500,40,0.800,415,0.969
Freddy Galvis,SS,1350,9,22,0.091,16,0.188,15,0.267,26,0.769,444,0.989
Corey Seager,SS,1345,4,29,0.000,14,0.071,5,0.400,20,0.600,412,0.959
Didi Gregorius,SS,1309.3,10,27,0.000,14,0.357,21,0.524,24,0.667,413,0.973
Brandon Crawford,SS,1309,7,23,0.044,13,0.308,13,0.539,31,0.839,442,0.982
Elvis Andrus,SS,1294,7,22,0.000,12,0.083,17,0.588,32,0.656,458,0.954
Addison Russell,SS,1262.7,6,14,0.214,14,0.286,9,0.556,20,0.850,414,0.969
Jordy Mercer,SS,1245.3,3,24,0.000,17,0.059,12,0.500,24,0.667,431,0.981
Adeiny Hechavarria,SS,1222,12,28,0.143,16,0.500,10,0.600,25,0.720,380,0.987
Jose Iglesias,SS,1163,9,23,0.000,10,0.600,9,0.667,19,0.737,417,0.988
Asdrubal Cabrera,SS,1154,11,22,0.046,23,0.087,9,0.667,28,0.893,321,0.978
Troy Tulowitzki,SS,1128.7,7,15,0.000,10,0.200,8,0.500,21,0.762,406,0.975
Alexei Ramirez,SS,1059.7,11,18,0.056,16,0.250,13,0.231,28,0.714,321,0.966
Andrelton Simmons,SS,1045,11,15,0.267,9,0.222,9,0.778,24,0.792,354,0.980
Ketel Marte,SS,1032.7,6,17,0.059,7,0.429,12,0.333,23,0.652,337,0.953
J.J. Hardy,SS,990,3,11,0.000,7,0.000,9,0.333,13,0.846,334,0.979
Zack Cozart,SS,966.7,7,13,0.077,12,0.167,14,0.429,19,0.737,333,0.985
Jonathan Villar,SS,915.7,6,27,0.000,11,0.455,15,0.400,14,0.500,345,0.954
Aledmys Diaz,SS,910,5,24,0.000,21,0.238,8,0.125,15,0.800,289,0.945
Erick Aybar,SS,882,9,21,0.000,11,0.273,10,0.500,24,0.750,269,0.955
Tim Anderson,SS,859.7,1,22,0.000,19,0.316,10,0.600,12,0.583,289,0.965
Brad Miller,SS,854,8,14,0.000,6,0.000,2,0.500,18,0.722,273,0.949
Trevor Story,SS,823,6,19,0.000,14,0.214,8,0.375,22,0.818,292,0.986
Nick Ahmed,SS,721.3,10,10,0.000,6,0.167,7,0.714,16,0.750,270,0.970
Chris Owings,SS,585.7,3,17,0.059,5,0.000,6,0.000,9,0.556,206,0.976
